Countries,Accuracy Score
Albania,3.0
Egypt,3.0
Taiwan,3.0
Romania,3.0
Republic of Serbia,3.0
Pakistan,3.0
Malta,3.0
Lithuania,3.0
Kuwait,3.0
Greece,3.0
Georgia,3.0
Lebanon,3.0
Vietnam,3.0
Botswana,3.0
Bosnia and Herzegovina,3.0
Czech Republic,2.9591836734693877
Poland,2.95
Croatia,2.943820224719101
Mexico,2.9047619047619047
Ukraine,2.9
Chile,2.888888888888889
Argentina,2.8867924528301887
China,2.8862745098039215
Malaysia,2.8666666666666667
Brazil,2.8645833333333335
Iran,2.8619791666666665
India,2.840909090909091
Portugal,2.834355828220859
United Arab Emirates,2.8181818181818183
Canada,2.817204301075269
Austria,2.763157894736842
Hungary,2.753846153846154
Jordan,2.75
Belarus,2.75
Spain,2.7411504424778763
Saudi Arabia,2.739130434782609
Belgium,2.7142857142857144
Singapore,2.7142857142857144
South Korea,2.6956521739130435
Italy,2.694736842105263
Switzerland,2.6923076923076925
Japan,2.6906474820143886
South Africa,2.682926829268293
Colombia,2.6666666666666665
United States of America,2.660361134995701
Sweden,2.65
United Kingdom,2.640644361833953
Australia,2.6070175438596492
France,2.60625
Turkey,2.6
Germany,2.5920745920745922
New Zealand,2.5833333333333335
Nigeria,2.5714285714285716
Bulgaria,2.5555555555555554
Ireland,2.5035971223021583
Cuba,2.5
Slovenia,2.5
Venezuela,2.5
No Country Data,2.4918032786885247
Finland,2.4761904761904763
Israel,2.457627118644068
Netherlands,2.414285714285714
Algeria,2.4
Russia,2.3693181818181817
Morocco,2.3333333333333335
Philippines,2.2
Denmark,2.2
Slovakia,2.1333333333333333
Tunisia,2.0
Cyprus,1.8571428571428572
Norway,1.6666666666666667
