Country,Citations
United States of America,1163
Germany,858
United Kingdom,807
Spain,452
Iran,384
Italy,380
Australia,285
China,255
Canada,186
Russia,176
Portugal,163
France,160
Belgium,147
Japan,139
Ireland,139
Hungary,130
Argentina,106
New Zealand,96
Brazil,96
Croatia,89
India,88
South Africa,82
Netherlands,70
Turkey,65
Mexico,63
No Country Data,61
Poland,60
Israel,59
Czech Republic,49
Austria,38
Slovenia,36
Romania,27
Switzerland,26
Taiwan,25
Belarus,24
Saudi Arabia,23
South Korea,23
Finland,21
Sweden,20
Bulgaria,18
Malaysia,15
Slovakia,15
United Arab Emirates,11
Denmark,10
Ukraine,10
Algeria,10
Morocco,9
Chile,9
Pakistan,7
Nigeria,7
Singapore,7
Cyprus,7
Cuba,6
Norway,6
Philippines,5
Venezuela,4
Jordan,4
Colombia,3
Georgia,2
Vietnam,2
Albania,2
Egypt,2
Greece,1
Kuwait,1
Republic of Serbia,1
Lithuania,1
Bosnia and Herzegovina,1
Malta,1
Tunisia,1
Botswana,1
Lebanon,1
