MR,Author,Journal,Year,Publication Type,MSC,Citation,Version,Website,Length,Accuracy Score
4056124,"Abas, M. and Vetrík, T.",Theoret. Comput. Sci.,2020,article,05C25 (05C20 20F05),"GAP – Groups, algorithms, programming - a system for computational discrete algebra, www.gap-system.org.",Unknown,Yes,104,2
3942387,"Abbas, A. and Assi, A. and García-Sánchez, P. A.",Rev. R. Acad. Cienc. Exactas Fís. Nat. Ser. A Mat. RACSAM,2019,article,13F20 (05E15 14H50),"Delgado, M., García-Sánchez, P.A., Morais, J.: ""Numerical Sgps"", A GAP package for numerical semi-groups. https://gap-packages.github.io/numericalsgps. Accessed 19 Aug 2017 
MR3493240",Package,Yes,183,3
3942387,"Abbas, A. and Assi, A. and García-Sánchez, P. A.",Rev. R. Acad. Cienc. Exactas Fís. Nat. Ser. A Mat. RACSAM,2019,article,13F20 (05E15 14H50),"The GAP Group: GAP—groups, algorithms, and programming, version 4.7.5 (2014). http://www.gap-system.org. Accessed 19 Aug 2017",4.7.5,Yes,125,3
3354065,"Abdolghafourian, A. and Iranmanesh, M. A.",Comm. Algebra,2015,article,05C25 (20B30 20E45),"The GAP – Groups, Algorithms and Programming. Version 4.4.12, 2008. www.gap-system.org.",4.4.12,Yes,87,2
3646312,"Abdolghafourian, A. and Iranmanesh, M. A. and Niemeyer, A. C.",J. Pure Appl. Algebra,2017,article,20G40 (05C25),"The GAP Group, GAP–Groups, Algorithms, and Programming, 4.7.8, 2015, http://www.gap-system.org.",4.7.8,Yes,95,3
1864795,"Abdollahi, A.",Houston J. Math.,2001,article,20F45 (20D60 20F19),"M. Schönert et al. GAP - Groups, Algorithms, and Programming (Lehrsthul D für Mathematik, Reinisch-Westflische Technische Hochschule, Aachen, Germany, fifth ed., 1995.)",Unknown,No,168,1
2287843,"Abdollahi, A. and Jafarian Amiri, S. M. and Hassanabadi, A. M.",Houston J. Math.,2007,article,20D60,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.3; 2002, (http://www.gap-system.org).",4.3,Yes,105,3
2175389,"Abdollahi, A. and Ataei, M. J. and Jafarian Amiri, S. M. and Hassanabadi, A. M.",Comm. Algebra,2005,article,20F99,"The GAP Group, GAP-Groups, Algorithms, and programming, Version 4.3; 2002, (http://www.gap-system.org).",4.3,Yes,103,3
2149067,"Abdollahi, A. and Hassanabadi, A. M.",Comm. Algebra,2005,article,20D15,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.3; 2002, (http://www.gap-system.org).",4.3,Yes,105,3
2293309,"Abdollahi, A. and Jafarian Amiri, S. M.",J. Pure Appl. Algebra,2007,article,20D60,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.3, 2002, http://www.gap-system.org.",4.3,Yes,101,3
2330635,"Abdollahi, A. and Ashraf, F. and Shaker, S. M.",Bull. Malays. Math. Sci. Soc. (2),2007,article,20B30 (20D60),"The GAP Group, GAP Groups, Algorithms, and Programming, Version 4.3; 2002, (http://www.gap-system.org).",4.3,Yes,103,3
2458407,"Abdollahi, A. and Faghihi, A. and Mohammadi Hassanabadi, A.",Comm. Algebra,2008,article,20F05 (20F28),"The GAP Group. (2005). GAP - Groups, Algorithms, and Programming. Version 4.4; Available at http://www.gap-system.org",4.4,Yes,117,3
2416600,"Abdollahi, A.",Linear Algebra Appl.,2008,article,16S50 (16P10 16U70),"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.3,2002 <http://www.gap-system.org>.",4.3,Yes,101,3
2371966,"Abdollahi, A.",J. Algebra,2007,article,20F45 (20F18),"The GAP Group, GAP—Groups, Algorithms, and Programming, version 4.4, http://www.gap-system.org, 2005.",4.4,Yes,101,3
2650379,"Abdollahi, A. and Khosravi, H.",Comm. Algebra,2010,article,20F45 (20F12),"The GAP Group. (2004). GAP-Groups, Algoritms, and Programing. Version 4.4.4. http://gap-system.org",4.4.4,Yes,98,3
2671230,"Abdollahi, A. and Faghihi, A. and Linton, S. A. and O'Brien, E. A.",Arch. Math. (Basel),2010,article,20D45 (20D15),"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.12; 2008. http://www.gap-system.org.",4.4.12,Yes,104,3
2387528,"Abdollahi, A. and Ataei, M. J. and Hassanabadi, A. M.",Comm. Algebra,2008,article,20D60 (51E21),"The GAP Group (2002). GAP–Groups, Algorithms, and Programming, Version 4.3. (http://www.gap-system.org).",4.3,Yes,104,3
2424280,"Abdollahi, A. and Faghihi, A. and Hassanabadi, A. M.",Comm. Algebra,2008,article,20D45,"The GAP Group, GAP-Groups, Algorithms, and Programming. (2005). Version 4.4; (http://www.gap-system.org).",4.4,Yes,105,3
2514858,"Abdollahi, A. and Hassanabadi, A. M.",J. Algebra Appl.,2009,article,20D60 (05C25),"The GAP Group, GAP-Groups, Algorithms, and Programming, Version 4.4; 2005 (http://www.gap-system.org).",4.4,Yes,102,3
2546325,"Abdollahi, A. and Vatandoost, E.",Electron. J. Combin.,2009,article,05C25 (05C50 20D99),"The GAP Group, GAP-Groups, Algoritms, and Programing, Version 4.4.4, 2004, http://gap-system.org.",4.4.4,Yes,97,3
2725682,"Abdollahi, A. and Azad, A. and Mohammadi Hassanabadi, A. and Zarrin, M.",Algebra Colloq.,2010,article,20D60,"The GAP Group, GAP — Groups, Algorithms, and Programming, Version 4.4, 2005 (http://www.gap-system.org).",4.4,Yes,104,3
2726552,"Abdollahi, A. and Khosravi, H.",J. Algebra Appl.,2010,article,20F45 (20F18),"W. Nickel, NQ, 1998, A refereed GAP 4 package, see [10].",Package,No,56,1
2726552,"Abdollahi, A. and Khosravi, H.",J. Algebra Appl.,2010,article,20F45 (20F18),"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4.12 (2008), (http://www.gap-system.org).",4.4.12,Yes,107,3
2764826,"Abdollahi, A. and Zarrin, M.",Comm. Algebra,2010,article,20D60 (05C25 20D15),"The GAP Group. (2005). GAP-Groups, Algorithms, and Programming, Version 4.4; Availbale at http://www.gap-system.org. Accessed October 4, 2010.",4.4,Yes,142,3
2824534,"Abdollahi, A.",J. Algebra,2011,article,20D15 (20J05 20J06),"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.12, www.gap-system.org, 2008.",4.4.12,Yes,97,3
2846396,"Abdollahi, A. and Brandl, R. and Tortora, A.",J. Algebra,2011,article,20F45 (20F19),"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.12, 2008, http://www.gap-system.org.",4.4.12,Yes,104,3
3149684,"Abdollahi, A. and Jazaeri, M.",European J. Combin.,2014,article,05C25,"L.H. Soicher, The GRAPE package for GAP, Version 4.6.1, 2012. http://www.maths.qmul.ac.uk/simleonard/grape/.",Package,Yes,108,3
