MR,Author,Journal,Year,Publication Type,Citation,Version,Website,Lentght,Accuracy Score,Lenght
4056124,"Abas, M. and Vetrík, T.",Theoret. Comput. Sci.,2020,article,"GAP – Groups, algorithms, programming - a system for computational discrete algebra, www.gap-system.org.",Unknown,Yes,104,2,104
3942387,"Abbas, A. and Assi, A. and García-Sánchez, P. A.",Rev. R. Acad. Cienc. Exactas Fís. Nat. Ser. A Mat. RACSAM,2019,article,"The GAP Group: GAP—groups, algorithms, and programming, version 4.7.5 (2014). http://www.gap-system.org. Accessed 19 Aug 2017",4.7.5,Yes,125,3,125
3354065,"Abdolghafourian, A. and Iranmanesh, M. A.",Comm. Algebra,2015,article,"The GAP – Groups, Algorithms and Programming. Version 4.4.12, 2008. www.gap-system.org.",4.4.12,Yes,87,2,87
3646312,"Abdolghafourian, A. and Iranmanesh, M. A. and Niemeyer, A. C.",J. Pure Appl. Algebra,2017,article,"The GAP Group, GAP–Groups, Algorithms, and Programming, 4.7.8, 2015, http://www.gap-system.org.",4.7.8,Yes,95,3,95
1864795,"Abdollahi, A.",Houston J. Math.,2001,article,"M. Schönert et al. GAP - Groups, Algorithms, and Programming (Lehrsthul D für Mathematik, Reinisch-Westflische Technische Hochschule, Aachen, Germany, fifth ed., 1995.)",Unknown,No,168,1,168
2287843,"Abdollahi, A. and Jafarian Amiri, S. M. and Hassanabadi, A. M.",Houston J. Math.,2007,article,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.3; 2002, (http://www.gap-system.org).",4.3,Yes,105,3,105
2175389,"Abdollahi, A. and Ataei, M. J. and Jafarian Amiri, S. M. and Hassanabadi, A. M.",Comm. Algebra,2005,article,"The GAP Group, GAP-Groups, Algorithms, and programming, Version 4.3; 2002, (http://www.gap-system.org).",4.3,Yes,103,3,103
2149067,"Abdollahi, A. and Hassanabadi, A. M.",Comm. Algebra,2005,article,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.3; 2002, (http://www.gap-system.org).",4.3,Yes,105,3,105
2293309,"Abdollahi, A. and Jafarian Amiri, S. M.",J. Pure Appl. Algebra,2007,article,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.3, 2002, http://www.gap-system.org.",4.3,Yes,101,3,101
2330635,"Abdollahi, A. and Ashraf, F. and Shaker, S. M.",Bull. Malays. Math. Sci. Soc. (2),2007,article,"The GAP Group, GAP Groups, Algorithms, and Programming, Version 4.3; 2002, (http://www.gap-system.org).",4.3,Yes,103,3,103
2458407,"Abdollahi, A. and Faghihi, A. and Mohammadi Hassanabadi, A.",Comm. Algebra,2008,article,"The GAP Group. (2005). GAP - Groups, Algorithms, and Programming. Version 4.4; Available at http://www.gap-system.org",4.4,Yes,117,3,117
2416600,"Abdollahi, A.",Linear Algebra Appl.,2008,article,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.3,2002 <http://www.gap-system.org>.",4.3,Yes,101,3,101
2371966,"Abdollahi, A.",J. Algebra,2007,article,"The GAP Group, GAP—Groups, Algorithms, and Programming, version 4.4, http://www.gap-system.org, 2005.",4.4,Yes,101,3,101
2650379,"Abdollahi, A. and Khosravi, H.",Comm. Algebra,2010,article,"The GAP Group. (2004). GAP-Groups, Algoritms, and Programing. Version 4.4.4. http://gap-system.org",4.4.4,Yes,98,3,98
2671230,"Abdollahi, A. and Faghihi, A. and Linton, S. A. and O'Brien, E. A.",Arch. Math. (Basel),2010,article,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.12; 2008. http://www.gap-system.org.",4.4.12,Yes,104,3,104
2387528,"Abdollahi, A. and Ataei, M. J. and Hassanabadi, A. M.",Comm. Algebra,2008,article,"The GAP Group (2002). GAP–Groups, Algorithms, and Programming, Version 4.3. (http://www.gap-system.org).",4.3,Yes,104,3,104
2424280,"Abdollahi, A. and Faghihi, A. and Hassanabadi, A. M.",Comm. Algebra,2008,article,"The GAP Group, GAP-Groups, Algorithms, and Programming. (2005). Version 4.4; (http://www.gap-system.org).",4.4,Yes,105,3,105
2514858,"Abdollahi, A. and Hassanabadi, A. M.",J. Algebra Appl.,2009,article,"The GAP Group, GAP-Groups, Algorithms, and Programming, Version 4.4; 2005 (http://www.gap-system.org).",4.4,Yes,102,3,102
2546325,"Abdollahi, A. and Vatandoost, E.",Electron. J. Combin.,2009,article,"The GAP Group, GAP-Groups, Algoritms, and Programing, Version 4.4.4, 2004, http://gap-system.org.",4.4.4,Yes,97,3,97
2725682,"Abdollahi, A. and Azad, A. and Mohammadi Hassanabadi, A. and Zarrin, M.",Algebra Colloq.,2010,article,"The GAP Group, GAP — Groups, Algorithms, and Programming, Version 4.4, 2005 (http://www.gap-system.org).",4.4,Yes,104,3,104
2726552,"Abdollahi, A. and Khosravi, H.",J. Algebra Appl.,2010,article,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4.12 (2008), (http://www.gap-system.org).",4.4.12,Yes,107,3,107
2764826,"Abdollahi, A. and Zarrin, M.",Comm. Algebra,2010,article,"The GAP Group. (2005). GAP-Groups, Algorithms, and Programming, Version 4.4; Availbale at http://www.gap-system.org. Accessed October 4, 2010.",4.4,Yes,142,3,142
2824534,"Abdollahi, A.",J. Algebra,2011,article,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.12, www.gap-system.org, 2008.",4.4.12,Yes,97,3,97
2846396,"Abdollahi, A. and Brandl, R. and Tortora, A.",J. Algebra,2011,article,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.12, 2008, http://www.gap-system.org.",4.4.12,Yes,104,3,104
