MR,Citation
MR4056124,"GAP – Groups, algorithms, programming - a system for computational discrete algebra, www.gap-system.org."
MR3942387,"Delgado, M., García-Sánchez, P.A., Morais, J.: ""Numerical Sgps"", A GAP package for numerical semi-groups. https://gap-packages.github.io/numericalsgps. Accessed 19 Aug 2017 
MR3493240"
MR3942387,"The GAP Group: GAP—groups, algorithms, and programming, version 4.7.5 (2014). http://www.gap-system.org. Accessed 19 Aug 2017"
MR3354065,"The GAP – Groups, Algorithms and Programming. Version 4.4.12, 2008. www.gap-system.org."
MR3646312,"The $\ssf{GAP}$ Group, $\ssf{GAP}$–Groups, Algorithms, and Programming, 4.7.8, 2015, http://www.gap-system.org."
MR1864795,"M. Schönert et al. GAP - Groups, Algorithms, and Programming (Lehrsthul D für Mathematik, Reinisch-Westflische Technische Hochschule, Aachen, Germany, fifth ed., 1995.)"
MR2287843,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.3; 2002, (http://www.gap-system.org)."
MR2175389,"The GAP Group, GAP-Groups, Algorithms, and programming, Version 4.3; 2002, (http://www.gap-system.org)."
MR2149067,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.3; 2002, (http://www.gap-system.org)."
MR2293309,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.3, 2002, http://www.gap-system.org."
MR2330635,"The GAP Group, GAP Groups, Algorithms, and Programming, Version 4.3; 2002, (http://www.gap-system.org)."
MR2458407,"The GAP Group. (2005). GAP - Groups, Algorithms, and Programming. Version 4.4; Available at http://www.gap-system.org"
MR2416600,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.3,2002 $<$http://www.gap-system.org$>$."
MR2371966,"The GAP Group, GAP—Groups, Algorithms, and Programming, version 4.4, http://www.gap-system.org, 2005."
MR2650379,"The GAP Group. (2004). GAP-Groups, Algoritms, and Programing. Version 4.4.4. http://gap-system.org"
MR2671230,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.12; 2008. http://www.gap-system.org."
MR2387528,"The GAP Group (2002). GAP–Groups, Algorithms, and Programming, Version 4.3. (http://www.gap-system.org)."
MR2424280,"The GAP Group, GAP-Groups, Algorithms, and Programming. (2005). Version 4.4; (http://www.gap-system.org)."
MR2514858,"The GAP Group, GAP-Groups, Algorithms, and Programming, Version 4.4; 2005 (http://www.gap-system.org)."
MR2546325,"The GAP Group, GAP-Groups, Algoritms, and Programing, Version 4.4.4, 2004, http://gap-system.org."
MR2725682,"The GAP Group, GAP — Groups, Algorithms, and Programming, Version 4.4, 2005 (http://www.gap-system.org)."
MR2726552,"W. Nickel, NQ, 1998, A refereed GAP 4 package, see [10]."
MR2726552,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4.12 (2008), (http://www.gap-system.org)."
MR2764826,"The GAP Group. (2005). GAP-Groups, Algorithms, and Programming, Version 4.4; Availbale at http://www.gap-system.org. Accessed October 4, 2010."
MR2824534,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.12, www.gap-system.org, 2008."
MR2846396,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.12, 2008, http://www.gap-system.org."
