MR,Author,Journal,Year,Publication Type,Citation,Version,Website,Lentght,Accuracy Score,Lenght
3942387,"Abbas, A. and Assi, A. and García-Sánchez, P. A.",Rev. R. Acad. Cienc. Exactas Fís. Nat. Ser. A Mat. RACSAM,2019,article,"Delgado, M., García-Sánchez, P.A., Morais, J.: ""Numerical Sgps"", A GAP package for numerical semi-groups. https://gap-packages.github.io/numericalsgps. Accessed 19 Aug 2017 
MR3493240",Package,Yes,183,3,183
2726552,"Abdollahi, A. and Khosravi, H.",J. Algebra Appl.,2010,article,"W. Nickel, NQ, 1998, A refereed GAP 4 package, see [10].",Package,No,56,1,56
3149684,"Abdollahi, A. and Jazaeri, M.",European J. Combin.,2014,article,"L.H. Soicher, The GRAPE package for GAP, Version 4.6.1, 2012. http://www.maths.qmul.ac.uk/simleonard/grape/.",Package,Yes,108,3,108
3297734,"Abdollahi, A.",J. Group Theory,2015,article,"W. Nickel, NQ, 1998, A refereed GAP 4 package, see [8].",Package,No,55,1,55
3539599,"Abdollahi, A. and Janbaz, S. and Jazaeri, M.",J. Algebra Appl.,2016,article,"L. H. Soicher, The GRAPE package for GAP, Version 4.6.1, 2012, http://www.maths.qmul.ac.uk/~leonard/grape/.",Package,Yes,107,3,107
4089644,"Abdollahi, A. and Rahmani, N.",Bull. Malays. Math. Sci. Soc.,2020,article,"Gamble, G., Nickel, W., O'Brien, E.A.: ANU p-Quotient–p-Quotient and p-Group Generation Algorithms (2006). An accepted GAP 4 package, available also in MAGMA",Package,No,157,2,157
3449941,"Aboras, M. and Vojtěchovský, P.",Comm. Algebra,2016,article,"Nagy, G. P., Vojtěchovský, P. LOOPS: Computing with quasigroups and loops, version 2.2.0, a package for GAP, available at http://www.math.du.edu/loops.",Package,Yes,151,3,151
3468053,"AbuGhneim, O. A.",Ars Combin.,2016,article,"L.H. Soicher, The DESIGN package for GAP, Version 1.6, 2011, (http://designtheory.org/software/gap_design/).",Package,Yes,108,3,108
3468053,"AbuGhneim, O. A.",Ars Combin.,2016,article,"L.H. Soicher, The GRAPE package for GAP, Version 4.6.1, 2012, (http://www.maths.qmul.ac.uk/leonard/grape/).",Package,Yes,107,3,107
2729387,"Aguiló-Gost, F. and García-Sánchez, P. A.",Electron. J. Combin.,2010,article,"M. Delgado, P. A. García-Sánchez and J. Morais, ""numericalsgps"": a GAP [12] package on numerical semigroups. (http://www.gap-system.org/Packages/numericalsgps.html). 
MR3493240",Package,Yes,176,3,176
3373319,"Aguiló-Gost, F. and García-Sánchez, P. A. and Llena, D.",Discrete Math.,2015,article,"M. Delgado, P. A. García-Sánchez, J. Morais, ""NumericalSgps"", A GAP package for numerical semigroups. Available via http://www.gap-system.org.",Package,Yes,142,3,142
3786749,"Ahmadidelir, K.",J. Algebra Appl.,2018,article,"G. P. Nagy and P. Vojtěchovský, LOOPS Version 2.1.3, Package for GAP 4.4.12., http://www.math.du.edu/loops.",Package,Yes,107,3,107
3786749,"Ahmadidelir, K.",J. Algebra Appl.,2018,article,"L. H. Soicher, The GRAPE package for GAP, Version 4.6.1, 2012, http://www.maths.qmul.ac.uk/leonard/grape/.",Package,Yes,106,3,106
3963088,"Ahmed, E. and Savchuk, D.",Comm. Algebra,2019,article,"Muntyan, Y., Savchuk, D. (2016). AutomGrp – tt GAP package for computations in self-similar groups and semigroups, Version 1.3. Accepted GAP package. Available at http://www.gap-system.org/Packages/automgrp.html",Package,Yes,211,3,211
1871890,"Aichinger, E.",Quaest. Math.,2001,article,"E. Aichinger, F. Binder, J. Ecker, R. Eggetsberger, P. Mayr, and C. Nöbauer, SONATA - system of near-rings and their applications, package for the group theory system GAP4, Division of Algebra, Johannes Kepler University Linz, Austria, 1999. 
MR1492191",Package,No,252,2,252
1916567,"Aichinger, E.",Acta Sci. Math. (Szeged),2002,article,"E. Aichinger, F. Binder, J. Ecker, R. Eggetsberger, P. Mayr, and C. Nöbauer, SONATA–system of near-rings and their applications, package for the group theory system GAP4, Division of Algebra, Johannes Kepler University Linz, Austria, 1999. 
MR1492191",Package,No,250,2,250
2167009,"Aichinger, E. and Farag, M.",Aequationes Math.,2004,article,"E. Aichinger, F. Binder, J, Ecker, R. Eggetsberger, P. Mayr and C. Nöbauer, SONATA - system of near-rings and their applications, package for the group theory system GAP4, Division of Algebra, Johannes Kepler University Linz, Austria, 1999. 
MR1492191",Package,No,251,2,251
2501429,"Albert, M. H. and Linton, S. A.",Combin. Probab. Comput.,2009,article,"Delgado, M., Linton, S. and Morais, J. (2007) Automata: A GAP package (1.10). http://cmup.fc.up.pt/cmup/mdelgado/automata/",Package,Yes,122,3,122
4180130,"Ali, S. and Azad, H. and Biswas, I. and de Graaf, W. A.",J. Symbolic Comput.,2021,article,"Dietrich, H., Faccin, P., de Graaf, W.A., 2019. CoReLG, computation with real Lie groups, Version 1.53. https://gap-packages.github.io/corelg/. Refereed GAP package.",Package,Yes,165,3,165
3763899,"Aljohani, M. and Bamberg, J. and Cameron, P. J.",Port. Math.,2017,article,"L. H. Soicher, GRAPE (Version 4.7) Package for GAP, http://www.maths.qmul.ac.uk/~leonard/grape/",Package,Yes,95,3,95
4095494,"Almeida, J. and Costa, A. and Kyriakoglou, R. and Perrin, D.",Forum Math.,2020,article,"M. Delgado, S. Linton and J. Morais, Automata: A GAP package on finite automata, http://www.gap-system.org/Packages/automata.html.",Package,Yes,130,3,130
4095494,"Almeida, J. and Costa, A. and Kyriakoglou, R. and Perrin, D.",Forum Math.,2020,article,"M. Delgado and J. Morais, SgpViz: A GAP package to visualize finite semigroups, 2008, http://www.gap-system.org/Packages/sgpviz.html.",Package,Yes,133,3,133
1776049,"Alp, M. and Wensley, C. D.",Internat. J. Algebra Comput.,2000,article,"M. Alp and C. D. Wensley, XMOD—Crossed modules and Cat1-groups in GAP, version 1.3—Manual for the XMOD share package (1997), pp. 1–78.",Package,No,134,2,134
1935568,"Alp, M.",Internat. J. Algebra Comput.,2002,article,"M. Alp and C. D. Wensley, XMOD—Crossed modules and Cat1-groups in GAP, version 1.3 Manual for the XMOD share package (1996) 1–80.",Package,No,129,2,129
2248746,"Alp, M.",Turkish J. Math.,2006,article,"Alp, M., and Wensley, C. D., XMOD, Crossed modules and cat1-groups in GAP, version 1.3 Manual for the XMOD share package, 1–80, (1997).",Package,No,135,2,135
1840174,"Alp, M.",Turkish J. Math.,2001,article,"Alp, M., and Wensley, C. D., XMOD, Crossed modules and cat1-groups in GAP, version 1.3 Manual for the XMOD share package, Chapter 73, 1357–1422.",Package,No,144,2,144
1796665,"Alp, M.",Turkish J. Math.,2000,article,"Alp, M., and Wensley, C. D., XMOD, Crossed modules and cat1-groups in GAP, version 1.3 Manual for the XMOD share package, (1996) 1–80.",Package,No,134,2,134
2917119,"Álvarez, V. and Armario, J. A. and Frau, M. D. and Real, P.",Appl. Algebra Engrg. Comm. Comput.,2012,article,Homological Algebra programming. A package for the GAP computational algebra system. http://www.gap-system.org/Packages/hap.html,Package,Yes,128,3,128
2220418,"An, J. and Hiss, G.",J. Group Theory,2006,article,"M. Schönert et al. GAP—Groups, Algorithms, and Programming. Version 3, share package CHEVIE. Lehrstuhl D für Mathematik, RWTH Aachen University (1997). http://www.gap-system.org.",Package,Yes,178,3,178
2652482,"Andruskiewitsch, N. and Fantino, F. and Graña, M. and Vendramin, L.",C. R. Math. Acad. Sci. Paris,2010,article,"R.A. Wilson, R.A. Parker, S.J. Nickerson, J.N. Bray, T. Breuer, AtlasRep, A GAP Interface to the Atlas of Group Representations, Version 1.4 2008, Refereed GAP package, http://www.math.rwth-aachen.de/simThomas.Breuer/atlasrep.",Package,Yes,226,3,226
2786171,"Andruskiewitsch, N. and Fantino, F. and Graña, M. and Vendramin, L.",Ann. Mat. Pura Appl. (4),2011,article,"Graña M., Vendramin L.: RiG, A GAP package for racks and Nichols Algebras, available at http://mate. dm.uba.ar/simlvendram",Package,Yes,122,3,122
2840161,"Andruskiewitsch, N. and Fantino, F. and García, G. A. and Vendramin, L.",Rev. Un. Mat. Argentina,2010,article,"R. A. Wilson, R. A. Parker, S. Nickerson, J. N. Bray and T. Breuer, Atlas Rep, A GAP Interface to the ATLAS of Group Representations. Version 1.4, http://www.math.rwth-aachen.de/simThomas.Breuer/atlasrep, 2007, Refereed GAP package.",Package,Yes,232,3,232
2745542,"Andruskiewitsch, N. and Fantino, F. and Graña, M. and Vendramin, L.",J. Algebra,2011,article,"R.A. Wilson, R.A. Parker, S. Nickerson, J.N. Bray, T. Breuer, AtlasRep, A GAP Interface to the ATLAS of Group Representations, Version 1.4, refereed GAP package, http://www.math.rwth-aachen.de/simThomas.Breuer/atlasrep, 2007.",Package,Yes,225,3,225
2745541,"Andruskiewitsch, N. and Fantino, F. and Graña, M. and Vendramin, L.",J. Algebra,2011,article,"R.A. Wilson, R.A. Parker, S. Nickerson, J.N. Bray, T. Breuer, AtlasRep, A GAP Interface to the ATLAS of Group Representations, Version 1.4, 2007, refereed GAP package. http://www.math.rwth-aachen.de/simThomas.Breuer/atlasrep.",Package,Yes,225,3,225
2862555,"Ankaralioglu, N. and Seress, Á.",Discrete Math. Theor. Comput. Sci.,2011,article,"M. Neunhöffer, Á. Seress, GAP Package ""recogbase"", http://www-groups.mcs.st-and.ac.uk/simneunhoef/ Computer/Software/Gap/recogbase.html.",Package,Yes,136,3,136
2862555,"Ankaralioglu, N. and Seress, Á.",Discrete Math. Theor. Comput. Sci.,2011,article,"M. Neunhöffer, Á. Seress, GAP Package ""recog"", http://www-groups.mcs.st-and.ac.uk/simneunhoef/ Computer/Software/Gap/recog.html.",Package,Yes,128,3,128
2738539,"Araújo, J. and Kinyon, M. and Konieczny, J.",European J. Combin.,2011,article,"L.H. Soicher, The GRAPE package for GAP, Version 4.3, 2006. http://www.maths.qmul.ac.uk/-leonard/grape/.",Package,Yes,104,3,104
3358042,"Araújo, J. and Bentz, W. and Konieczny, J.",Israel J. Math.,2015,article,"L. H. Soicher, The GRAPE package for GAP, Version 4.3, 2006, http://www.maths.qmul.ac.uk/~leonard/grape/.",Package,Yes,105,3,105
3725240,"Araújo, J. and Cameron, P. J. and Steinberg, B.",EMS Surv. Math. Sci.,2017,article,"J. D. Mitchell et al., Semigroups - GAP package, Version 2.6; 2015. Available from: http://www-groups.mcs.st-andrews.ac.uk/~jamesm/semigroups.php",Package,Yes,145,3,145
3724696,"Araújo, J. and Kinyon, M. and Konieczny, J. and Malheiro, A.",Proc. Roy. Soc. Edinburgh Sect. A,2017,article,"A. Distler and J. D. Mitchell. GAP package - smallsemi, v. 0.6.8 (2014). (Available at http://www-groups.mcs.st-andrews.ac.uk/~jamesm/smallsemi.)",Package,Yes,145,3,145
2995039,"Araújo, J. and Cameron, P. J. and Mitchell, J. D. and Neunhöffer, M.",J. Algebra,2013,article,"James D. Mitchell, The GAP-package Citrus. Version 0.6, http://www-groups.mcs.st-andrews.ac.uk/simjamesm/citrus/index.html, 2012.",Package,Yes,129,3,129
2995039,"Araújo, J. and Cameron, P. J. and Mitchell, J. D. and Neunhöffer, M.",J. Algebra,2013,article,"Jürgen Müller, Max Neunhöffer, Felix Noeske, The GAP-package orb. Version 4.3, http://www-groups.mcs.st-and.ac.uk/simneunhoef/ Computer/Software/Gap/orb.html, 2012.",Package,Yes,164,3,164
3395375,"Araújo, J. and Bentz, W. and Mitchell, J. D. and Schneider, C.",Math. Proc. Cambridge Philos. Soc.,2015,article,"J. D. Mitchell et al. Semigroups - GAP package, Version 2.4.1. May 2015. http://www-groups.mcs.st-andrews.ac.uk/jamesm/semigroups.php.",Package,Yes,134,3,134
3430360,"Araújo, J. and Cameron, P. J.",Trans. Amer. Math. Soc.,2016,article,"L.H. Soicher, The GRAPE package for GAP, Version 4.3, 2006. +http://www.maths.qmul.ac.uk/~leonard/grape/+.",Package,Yes,106,3,106
3482340,"Araya, M. and Harada, M.",Hiroshima Math. J.,2016,article,"L. H. Soicher, GRAPE—a GAP package, Version 4.6.1; 2012, (http://www.gap-system.org/Packages/grape.html).",Package,Yes,105,3,105
3886270,"Araya, M. and Harada, M.",Discrete Math.,2019,article,"R. Baart, T. Boothby, J. Cramwinckel, J. Fields, D. Joyner, R. Miller, E. Minkes, E. Roijackers, L. Ruscio, C. Tjhai, GAP package GUAVA, Version 3.1.3, 2016, Available online at http://www.gap-system.org/Packages/guava.html.",Package,Yes,224,3,224
3575975,"Arvasi, Z. and Odabaş, A.",J. Algebra Appl.,2016,article,"M. Alp, A. Odabas, E. O. Uslu and C. D. Wensley, Crossed modules and romancat1-groups in GAP, Version 2.43 Manual for the XMod share package for GAP4 (2015), http://www.gap-system.org/packages/xmod.html",Package,Yes,202,3,202
3575975,"Arvasi, Z. and Odabaş, A.",J. Algebra Appl.,2016,article,"Z. Arvasi and A. Odabas, Crossed modules of commutative algebras and cat-1romanalgebras in GAP, Version 1.12 Manual for the XModAlg share package for GAP4 (2015), http://fef.ogu.edu.tr/matbil/aodabas/xmodalg.",Package,Yes,208,3,208
3424052,"Assi, A. and García-Sánchez, P. A.",J. Symbolic Comput.,2016,article,"Delgado, M., García-Sánchez, P.A., Morais, J., 2015. NumericalSgps, a package for numerical semigroups, Version 1.0.1 (Refereed GAP package). http://www.fc.up.pt/cmup/mdelgado/numericalsgps. 
MR3493240",Package,Yes,201,3,201
