MSC,Count
 Group theory and generalizations,545
 Combinatorics,276
 Computer science,132
 Number theory,117
 Associative rings and algebras,87
 Algebraic geometry,78
 Manifolds and cell complexes,65
 Geometry,64
" Information and communication, circuits",52
 Convex and discrete geometry,46
 Commutative algebra,44
 Nonassociative rings and algebras,43
 Algebraic topology,35
" Order, lattices, ordered algebraic structures",30
 Linear and multilinear algebra; matrix theory,28
 Category theory; homological algebra,28
 Field theory and polynomials,26
 Quantum theory,24
" Topological groups, Lie groups",20
 Functions of a complex variable,16
 Numerical analysis,16
 K-theory,13
" Operations research, mathematical programming",12
 Dynamical systems and ergodic theory,12
 Probability theory and stochastic processes,10
 Mathematical logic and foundations,10
 General algebraic systems,9
 Differential geometry,8
 Statistics,6
" Global analysis, analysis on manifolds",6
 Operator theory,6
 Special functions,5
 Functional analysis,5
 Partial differential equations,4
 Abstract harmonic analysis,3
 Several complex variables and analytic spaces,3
 Biology and other natural sciences,3
 Ordinary differential equations,3
 Difference and functional equations,2
 General and overarching topics; collections,2
 History and biography,2
" Statistical mechanics, structure of matter",2
 Measure and integration,2
 General topology,1
 Calculus of variations and optimal control; optimization,1
 Fluid mechanics,1
" Optics, electromagnetic theory",1
 Harmonic analysis on Euclidean spaces,1
 Mathematics education,1
" Sequences, series, summability",1
